prezzo,m2,via,quartiere
€ 1.500/mese,48m²,"Via Chioggia,22",TUSCOLANO
€ 780/mese,60m²,Via Pisino,COLLATINO
€ 600/mese,35m²,Via delle Vigne di Morena,MORENA
€ 800/mese,77m²,via Camillo Serafini 27,BRAVETTA
€ 1.400/mese,80m²,Via di Monte Verde,MONTEVERDE NUOVO
€ 1.900/mese,125m²,Via Elio Vittorini,FERRATELLA
€ 900/mese,65m²,Via Foligno,TUSCOLANO
€ 900/mese,20m²,"Vicolo della Renella,95",TRASTEVERE
€ 280/mese,18m²,Via di Acilia,ACILIA SUD
€ 1.800/mese,90m²,Viale Pinturicchio,FLAMINIO
€ 1.050/mese,70m²,Via Angiolo Cabrini,VAL MELAINA
€ 2.650/mese,200m²,Largo Dell' Olgiata,OLGIATA
€ 950/mese,95m²,Via Agerola,SCHIZZANELLO
€ 1.900/mese,60m²,Via dei Soldati,PONTE
€ 650/mese,45m²,Via Albidona,TOR SANTI QUATTRO
€ 3.200/mese,196m²,Via Flaminia,COLLINA FLEMING
€ 900/mese,70m²,Via Antonio Silvani,NUOVO SALARIO
€ 830/mese,35m²,Via Boncompagni,LUDOVISI
€ 550/mese,50m²,Via Civitacampomarano,CASE ROSSE
€ 700/mese,85m²,"Via Vitaliano Ponti, 42",TORRE SPACCATA
€ 1.200/mese,39m²,"Clivo Rutario,16",MONTEVERDE VECCHIO
€ 450/mese,45m²,Via Eugenio Donadoni,INFERNETTO
€ 1.250/mese,140m²,Via della Pisana,VILLINI
€ 950/mese,80m²,Via Antonio Silvani,NUOVO SALARIO
€ 1.100/mese,84m²,Via Cipriano Facchinetti,CASAL BRUCIATO
€ 2.400/mese,120m²,"Via Papiniano,22",BALDUINA
€ 590/mese,25m²,Largo Preneste,PRENESTINO LABICANO
€ 500/mese,40m²,Via della Stazione della Storta,LA STORTA
€ 430/mese,28m²,Via di Acilia,ACILIA SUD
€ 550/mese,45m²,Via Pedrengo,PIETRA PERTUSA
€ 239.000/mese,53m²,via tuscolana,DON BOSCO
€ 500/mese,26m²,Via Giuseppe Antonio Borgese,INFERNETTO
€ 550/mese,55m²,Via Francesco Massi,MONTEVERDE VECCHIO
€ 2.000/mese,50m²,"Borgo Vittorio,27",BORGO
€ 1.350/mese,55m²,Via Cimarra,MONTI
€ 850/mese,65m²,Via dei Querceti,CELIO
€ 950/mese,70m²,Via Edoardo Jenner,COLLI PORTUENSI
€ 700/mese,40m²,Via dei Liguri,S. LORENZO
€ 800/mese,45m²,Via Amedeo Crivellucci,APPIO LATINO - ALBERONE
€ 1.100/mese,65m²,"Via Giovanni de Calvi,83",COLLI PORTUENSI
€ 1.000/mese,60m²,Via Francesco De Vico,OTTAVO COLLE
€ 550/mese,44m²,Via Ignazio Scimonelli,ROMANINA
€ 2.500/mese,100m²,Via Sardegna,LUDOVISI
€ 500/mese,26m²,Via Giuseppe Antonio Borgese,INFERNETTO
€ 700/mese,65m²,Viale Capitan Casella,OSTIA LEVANTE
€ 550/mese,34m²,Via Ignazio Scimonelli,ROMANINA
€ 1.050/mese,90m²,via dei Magazzini Generali,OSTIENSE
€ 1.800/mese,63m²,Viale Liegi,PINCIANO
€ 500/mese,40m²,Via della Stazione della Storta,LA STORTA
€ 660/mese,90m²,Via San Gregorio di Catania,VALLE FIORITA
€ 1.600/mese,80m²,"Via Duccio Galimberti ,10",BALDUINA
€ 1.600/mese,100m²,Via Salvatore Pincherle,VALCO S. PAOLO
€ 2.800/mese,50m²,"Via Tirso,111",SALARIO
€ 750/mese,85m²,Via Maria Theodoli,DRAGONCELLO
€ 2.450/mese,50m²,"Viale Regina Margherita,96",SALARIO
€ 2.150/mese,95m²,Via di Villa Ada,VERBANO
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 1.100/mese,84m²,Via Cipriano Facchinetti,CASAL BRUCIATO
€ 3.500/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 650/mese,65m²,Via Torresina,PODERE S. GIUSTO-PODERE ZARA
€ 2.500/mese,100m²,Via Sardegna,LUDOVISI
€ 800/mese,41m²,Via Eugenio Checchi,MONTI TIBURTINI
€ 2.300/mese,150m²,Via Quadroni,TOMBA DI NERONE
€ 2.100/mese,90m²,Via Boncompagni,LUDOVISI
€ 1.000/mese,51m²,Via Bagnoregio,GROTTAROSSA
€ 1.300/mese,35m²,Via Volturno,CASTRO PRETORIO
€ 880/mese,50m²,Via Tancredi Cartella,PORTONACCIO
€ 1.600/mese,100m²,Via Salvatore Pincherle,VALCO S. PAOLO
€ 550/mese,60m²,Via Civitacampomarano,CASE ROSSE
€ 800/mese,45m²,Via Augusto Aubry,MAZZINI
€ 670/mese,52m²,Via della Magliana Nuova,MAGLIANA
€ 590/mese,25m²,Largo Preneste,PRENESTINO LABICANO
€ 550/mese,30m²,Via di Trigoria,TRIGORIA
€ 850/mese,50m²,Via Gian Matteo Giberti,MONTEVERDE NUOVO
€ 1.350/mese,72m²,"Via Carlo Conti Rossini,26",ARDEATINO
€ 900/mese,65m²,Via Teresa De Gubernatis Mannucci,MONTE MARIO
€ 700/mese,45m²,Via Zenone di Cizio,AXA
€ 980/mese,51m²,Via Giuseppe Allievo,MONTE MARIO
€ 3.900/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 1.600/mese,60m²,Via Vicenza,CASTRO PRETORIO
€ 4.000/mese,237m²,via  di Grottarossa ,GROTTAROSSA
€ 630/mese,70m²,Via Valmontone,CENTOCELLE
€ 1.400/mese,65m²,"Via Tarso,27",SAN PAOLO
€ 1.350/mese,64m²,"Via la Spezia,81",TUSCOLANO
€ 1.150/mese,106m²,Viale Ronchi,VILLA GORDIANI
€ 1.300/mese,75m²,"Via Eschilo,120",AXA
€ 2.500/mese,90m²,Corso Vittorio Emanuele II,PARIONE
€ 280/mese,18m²,Via di Acilia,ACILIA SUD
€ 1.650/mese,52m²,"Via Baldo degli Ubaldi,372",BALDO DEGLI UBALDI
€ 430/mese,28m²,Via Angelo Zottoli,ACILIA SUD
€ 1.100/mese,40m²,"Via Fratelli Ruspoli,2",PARIOLI
€ 3.050/mese,50m²,"Via Francesco Caracciolo, 10",EROI TRIONFALE
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 550/mese,60m²,Via Civitacampomarano,CASE ROSSE
€ 850/mese,82m²,Via Eudo Giulioli,CINECITTA' EST
€ 430/mese,28m²,Via di Acilia,ACILIA SUD
€ 1.900/mese,98m²,Via Andrea Doria,EROI TRIONFALE
€ 1.340/mese,68m²,Via Napoleone Parboni,PORTA PORTESE
€ 700/mese,50m²,Via Andrea Barbato,TORRESINA
€ 450/mese,20m²,Via di Acqua Bullicante,LA MARRANELLA
€ 665/mese,48m²,Via Giuseppe Libetta,OSTIENSE
€ 1.500/mese,77m²,"Via degli Ausoni,9",S. LORENZO
€ 800/mese,40m²,"Via Ottorino Lazzarini, 00",EROI TRIONFALE
€ 650/mese,60m²,Via della Casetta Mattei,CASETTA MATTEI
€ 670/mese,60m²,Via Alberto Fredda,TECNOPOLO
€ 600/mese,45m²,Via Caprile,FORNO SARACENO
€ 3.500/mese,90m²,"Vicolo di Montevecchio,2",PONTE
€ 1.150/mese,90m²,Via Fezzan,AFRICANO
€ 800/mese,70m²,via Livigno,VALLE MURICANA
€ 630/mese,50m²,Via delle Ciliegie,ALESSANDRINO
€ 3.500/mese,120m²,"Via Castelfidardo,60",CASTRO PRETORIO
€ 1.200/mese,90m²,Via Giambattista Pagano,BOCCEA
€ 1.500/mese,127m²,Via Lucio Elio Seiano,APPIO CLAUDIO
€ 1.700/mese,91m²,Via del Boschetto,MONTI
€ 650/mese,66m²,Via di Mezzocammino,TOR DE' CENCI
€ 550/mese,44m²,Via Ignazio Scimonelli,ROMANINA
€ 2.500/mese,90m²,"Via della Farnesina,100",FARNESINA
€ 550/mese,45m²,Via Diano Marina,TORREVECCHIA ALTA
€ 1.000/mese,70m²,Viale dell'Umanesimo,EUR
€ 750/mese,35m²,Via Vallombrosa,CORTINA D'AMPEZZO
€ 1.800/mese,80m²,"Via Pio Foà,48",MONTEVERDE NUOVO
€ 3.000/mese,94m²,Via del Porto Fluviale,OSTIENSE
€ 1.200/mese,60m²,Piazza Lotario,ITALIA
€ 650/mese,40m²,Via Vernio,FIDENE
€ 6.000/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 750/mese,35m²,Via dei Sabelli,S. LORENZO
€ 850/mese,58m²,Via dei Savorgnan,CERTOSA
€ 1.200/mese,70m²,Via Camillo Porzio,APPIO LATINO - ALBERONE
€ 750/mese,35m²,Via Antonio Serra,COLLINA FLEMING
€ 2.000/mese,120m²,Via Nino Bixio,ESQUILINO
€ 630/mese,40m²,Via Giuseppe Gagliani Caputo,TECNOPOLO
€ 500/mese,51m²,Via Casilina,FINOCCHIO
€ 2.450/mese,50m²,"Via Candia,50",EROI TRIONFALE
€ 2.300/mese,50m²,"Via Gregoriana,20",CAMPO MARZIO
€ 2.850/mese,50m²,"Borgo Vittorio,41",BORGO
€ 650/mese,35m²,Via Roberto Lepetit,TOR TRE TESTE
€ 850/mese,60m²,Via Castelsaraceno,CAVA PACE
€ 6.900/mese,160m²,Via Della Camilluccia,CAMILLUCCIA
€ 1.500/mese,120m²,Via Jacopone da Todi,TALENTI
€ 900/mese,65m²,Via Terni,TUSCOLANO
€ 700/mese,34m²,Via Manlio Torquato,FURIO CAMILLO
€ 700/mese,68m²,"VIA COLLATINA, 625",COLLATINO
€ 730/mese,70m²,Via Maria Luigia Tancredi,COLLE DEGLI ABETI
€ 4.500/mese,180m²,Viale di Villa Grazioli,PARIOLI
€ 2.170/mese,50m²,"Via Carlo Zucchi,21",AURELIO
€ 2.100/mese,185m²,Via Alessio Baldovinetti,OTTAVO COLLE
€ 5.000/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 700/mese,40m²,Via San Godenzo,SAN GODENZO
€ 850/mese,85m²,Via Lodovico Bertonio,DRAGONA
€ 600/mese,35m²,Via di Torre Morena,MORENA
€ 1.100/mese,47m²,"Via Carlo Livi,13",TORREVECCHIA ALTA
€ 950/mese,70m²,Via Edoardo Jenner,COLLI PORTUENSI
€ 2.200/mese,35m²,"Via del Boccaccio,8",TREVI
€ 700/mese,100m²,Via Visano,PIETRA PERTUSA
€ 700/mese,50m²,Viale Indro Montanelli,TORRESINA
€ 900/mese,30m²,Via Aurelia,GREGORIO XI
€ 1.000/mese,60m²,Via Francesco De Vico,OTTAVO COLLE
€ 3.300/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 670/mese,51m²,Via Domenico Cucchiari,CASAL BERTONE
€ 1.100/mese,80m²,Via Roberto Malatesta,PRENESTINO LABICANO
€ 1.250/mese,140m²,Via Ettore Scandale,SANTA CECILIA
€ 800/mese,28m²,Via dei Sabelli,S. LORENZO
€ 670/mese,50m²,Via Alessandro Vivenza,MONTE MIGLIORE
€ 500/mese,25m²,Via di Pietralata,PIETRALATA
€ 1.600/mese,70m²,"Via Pietro de Francisci,13",GREGORIO XI
€ 600/mese,35m²,Via Roberto Lepetit,TOR TRE TESTE
€ 900/mese,72m²,via GIACINTO DE VECCHI PIERALICE,BALDO DEGLI UBALDI
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 1.550/mese,60m²,Via Pavia,ITALIA
€ 1.200/mese,95m²,Via Acaia,APPIO S. GIOVANNI
€ 850/mese,50m²,Via Collazia,APPIO S. GIOVANNI
€ 490/mese,18m²,Largo Preneste,PRENESTINO LABICANO
€ 550/mese,44m²,Via Ignazio Scimonelli,ROMANINA
€ 640/mese,40m²,Via Giuseppe Gagliani Caputo,TECNOPOLO
€ 750/mese,62m²,Via del Fontanile Nuovo,OTTAVIA
€ 550/mese,30m²,Via Enrico Theodoli,DUE PONTI
€ 580/mese,45m²,"Piazza Galeno,96",NOMENTANO
€ 650/mese,35m²,Via Riccardo Bacchelli,CASAL BOCCONE
€ 1.400/mese,55m²,"Via Pietro Adami,36",TORREVECCHIA ALTA
€ 900/mese,65m²,Via La Spezia,TUSCOLANO
€ 1.250/mese,130m²,Via Giuseppe Tarozzi,MASSIMINA
€ 650/mese,35m²,Via Sileno,LA RUSTICA
€ 1.235/mese,50m²,"Via Amedeo Avogadro,104",MARCONI
€ 1.800/mese,100m²,"Via Ugo de Carolis,99",BALDUINA
€ 1.850/mese,120m²,Viale Appio Claudio,APPIO CLAUDIO
€ 750/mese,40m²,VIA AMSTERDAM,CASTELLACCIO
€ 650/mese,60m²,Via Isili,SPALLETTE
€ 3.750/mese,130m²,"Via Germanico,99",PRATI
€ 650/mese,50m²,Via Fraconalto,MONTE DEL MARMO
€ 700/mese,50m²,Viale Indro Montanelli,TORRESINA
€ 1.550/mese,50m²,"Via del Vantaggio,24",CAMPO MARZIO
€ 600/mese,35m²,Via del Fosso dell'Acqua Mariana,MORENA
€ 1.600/mese,110m²,"Via Bonifacio VIII,22",CAVALLEGGERI
€ 2.900/mese,60m²,"Via dei Genovesi,31",TRASTEVERE
€ 800/mese,60m²,Viale Etiopia,AFRICANO
€ 590/mese,25m²,Largo Preneste,PRENESTINO LABICANO
€ 1.000/mese,47m²,Viale Giorgio Ribotta,CASTELLACCIO
€ 490/mese,18m²,Largo Preneste,PRENESTINO LABICANO
€ 2.600/mese,170m²,Piazza Salerno,NOMENTANO
€ 830/mese,60m²,Via Teresa De Gubernatis Mannucci,MONTE MARIO
€ 550/mese,65m²,Via Terranuova Bracciolini,SETTEBAGNI
€ 370/mese,25m²,Via di Acilia,ACILIA SUD
€ 500/mese,58m²,Via della Stazione di Cesano,CESANO
€ 830/mese,54m²,"Via Alberto Moravia, 112",ACQUA ACETOSA OSTIENSE
€ 300/mese,18m²,"Via Tuscolana, 875",DON BOSCO
€ 1.000/mese,90m²,Via Biella,TUSCOLANO
€ 6.900/mese,150m²,"Via della Camilluccia,741",CAMILLUCCIA
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 2.425/mese,200m²,Via Tripoli,AFRICANO
€ 3.600/mese,65m²,"Via Ettore Ciccotti,11",APPIO LATINO - ALBERONE
€ 2.000/mese,147m²,"Via Benaco,21",VERBANO
€ 600/mese,35m²,Via dei Ciclamini,CENTOCELLE
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 2.000/mese,200m²,Via Filippo Maria Pirelli,AURELIO
€ 950/mese,83m²,Viale Giovanni Battista Valente,COLLATINO
€ 700/mese,50m²,Piazza Galeria,APPIO S. GIOVANNI
€ 2.100/mese,60m²,"Via Sinuessa,15",APPIO S. GIOVANNI
€ 1.650/mese,155m²,Via Tullio Levi Civita,SAN PAOLO
€ 900/mese,70m²,Via Andrea Lavezzolo,MEZZOCAMMINO
€ 1.100/mese,70m²,"Via Tolosa , 22",CASTELLACCIO
€ 2.800/mese,50m²,"Via Raffaele Balestra,44",MONTEVERDE NUOVO
€ 2.250/mese,50m²,"Via Fidenza,27",TUSCOLANO
€ 700/mese,80m²,Via Ballao,ROCCA CENCIA
€ 1.400/mese,60m²,"Via Marmorata,169",TESTACCIO
€ 370/mese,22m²,Via Angelo Zottoli,ACILIA SUD
€ 2.000/mese,124m²,"Borgo Pio,138",BORGO
€ 1.300/mese,87m²,Via Latina,APPIO LATINO - ALBERONE
€ 750/mese,65m²,Via Sarsina,VITINIA
€ 950/mese,70m²,Via Laurentina,EUR
€ 600/mese,45m²,Via Ciro Trabalza,MASSIMINA
€ 1.200/mese,57m²,"Via Laurentina,825",EUR
€ 2.800/mese,50m²,"Via Giuseppe Giulietti,2",OSTIENSE
€ 7.020/mese,50m²,"Via Torquato Taramelli,22",PARIOLI
€ 1.600/mese,50m²,"Via Bernardino Telesio,14",EROI TRIONFALE
€ 280/mese,18m²,Via di Acilia,ACILIA SUD
€ 850/mese,40m²,Viale dei Misenati,OSTIA LEVANTE
€ 1.250/mese,85m²,Via dei Prati della Farnesina,FORO ITALICO
€ 1.000/mese,60m²,Via Francesco De Vico,OTTAVO COLLE
€ 2.850/mese,50m²,"Via Carlo Alberto,63",ESQUILINO
€ 5.000/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 950/mese,65m²,Piazza Fonteiana,MONTEVERDE VECCHIO
€ 750/mese,110m²,Via di Tor Sapienza,TOR SAPIENZA
€ 500/mese,40m²,Via Cassia,TOMBA DI NERONE
€ 1.800/mese,45m²,"Via Laura Mantegazza,28",MONTEVERDE NUOVO
€ 1.000/mese,48m²,Via Giacomo Pagliari,SALARIO
€ 3.200/mese,204m²,Via Flaminia,COLLINA FLEMING
€ 800/mese,70m²,via Livigno,VALLE MURICANA
€ 900/mese,45m²,Piazza Euclide,PARIOLI
€ 450/mese,40m²,Via Marlengo,INFERNETTO
€ 1.800/mese,100m²,Via Bolzano,TRIESTE
€ 650/mese,50m²,Piazza Eschilo,AXA
€ 1.250/mese,110m²,Via del Sagittario,OSTIA LEVANTE
€ 800/mese,30m²,Via Taranto,TUSCOLANO
€ 1.100/mese,65m²,Via Mugello,PRATI FISCALI
€ 1.000/mese,100m²,Via Sangemini,TRIONFALE
€ 77.000/mese,3.624m²,Via Carlo Veneziani,PARCO DE' MEDICI
€ 850/mese,55m²,Via Igino Giordani,VERDEROCCA
€ 1.185/mese,40m²,"Via Amedeo Avogadro,104",MARCONI
€ 670/mese,60m²,Via Ferdinando Acton,OSTIA LEVANTE
€ 1.400/mese,126m²,Via Veturia,FURIO CAMILLO
€ 700/mese,70m²,Via Donato Bartolomeo,DRAGONA
€ 900/mese,50m²,via di Porta Labicana,S. LORENZO
€ 2.100/mese,120m²,via Giulio Pittarelli ,CASAL LUMBROSO
€ 700/mese,65m²,Via Beltrami Scalia,PONTE MAMMOLO
€ 550/mese,42m²,Via dei Due Ponti,DUE PONTI
€ 1.190/mese,107m²,Via Dancalia,AFRICANO
€ 10.000/mese,285m²,Via Archimede,PARIOLI
€ 800/mese,60m²,Via Matteo Babini,SERPENTARA
€ 830/mese,45m²,VIA COSTANTINO BELTRAMI,MIANI
€ 750/mese,35m²,Via Vallombrosa,CORTINA D'AMPEZZO
€ 900/mese,53m²,Via Jacopo Sannazzaro,TALENTI
€ 750/mese,30m²,Via Alessandro Solivetti,TORREVECCHIA ALTA
€ 1.500/mese,111m²,Via Tripolitania,AFRICANO
€ 1.000/mese,100m²,Via Aldo Banzi,TOR DE' CENCI
€ 950/mese,55m²,Via Fernando Colombo,GARBATELLA
€ 700/mese,40m²,Via San Godenzo,SAN GODENZO
€ 550/mese,40m²,Via Giacomo Peroni,TECNOPOLO
€ 790/mese,95m²,Via Cologno Monzese,PALMAROLA
€ 950/mese,40m²,via Veglia,PRATI FISCALI
€ 900/mese,81m²,Via Salvatore Scoca,VAL MELAINA
€ 950/mese,76m²,Via camillo serafini,BRAVETTA
€ 1.350/mese,82m²,Piazza Gondar,VESCOVIO
€ 900/mese,60m²,Via Vacuna,MONTI DI PIETRALATA
€ 1.450/mese,81m²,Via della Gensola,TRASTEVERE
€ 1.150/mese,110m²,Via dei Gonzaga,VILLINI
€ 550/mese,60m²,Via Civitacampomarano,CASE ROSSE
€ 1.750/mese,50m²,Via della Panetteria,TREVI
€ 800/mese,80m²,Via Beata Savina Petrilli,CECCHIGNOLA
€ 900/mese,75m²,Via Arpino,CENTOCELLE
€ 650/mese,44m²,Via Gioacchino Russo,NUOVA PONTE DI NONA
€ 1.500/mese,102m²,Via Oreste Tommasini,LANCIANI
€ 1.500/mese,80m²,Via Catanzaro,ITALIA
€ 700/mese,40m²,Via Manlio Torquato,FURIO CAMILLO
€ 1.100/mese,110m²,Viale dei Salesiani,DON BOSCO
€ 600/mese,50m²,Via di Tor Chiesaccia,CASTEL DI LEVA
€ 1.100/mese,78m²,Viale di Castel Porziano,INFERNETTO
€ 640/mese,40m²,Via Giuseppe Gagliani Caputo,TECNOPOLO
€ 2.500/mese,135m²,Borgo Angelico,BORGO
€ 3.200/mese,220m²,via Fogliano ,VERBANO
€ 1.250/mese,97m²,"Viale Val Padana, 90",CONCA D'ORO
€ 700/mese,45m²,Via Carlo della Rocca,TOR PIGNATTARA
€ 450/mese,45m²,Via Eugenio Donadoni,INFERNETTO
€ 1.185/mese,40m²,"Via Amedeo Avogadro,104",MARCONI
€ 1.100/mese,122m²,Via Padre Massaruti,MADONNETTA
€ 3.500/mese,182m²,viale Regina Margherita,SALARIO
€ 1.500/mese,100m²,Via dei Castani,CENTOCELLE
€ 2.100/mese,110m²,Via Flaminia,COLLINA FLEMING
€ 550/mese,70m²,Via Civitella San Paolo,TOMBA DI NERONE
€ 780/mese,55m²,Via Stefano Assemani,ACILIA SUD
€ 400/mese,35m²,Via di Torre Gaia,TORRE GAIA
€ 1.500/mese,100m²,Via La Spezia,TUSCOLANO
€ 1.550/mese,70m²,"Via Giuseppe Vasi,18",LANCIANI
€ 600/mese,45m²,Via La Nebbia,TORREVECCHIA ALTA
€ 1.100/mese,95m²,Via Paestum,CECAFUMO
€ 900/mese,38m²,Via Feliciano Scarpellini,PARIOLI
€ 600/mese,50m²,Via Cassinelle,PIANA DEL SOLE
€ 775/mese,45m²,Via Franco Becci,PORTA DI ROMA
€ 650/mese,46m²,Via Gioacchino Russo,NUOVA PONTE DI NONA
€ 900/mese,77m²,Via Duchessa di Galliera,MONTEVERDE NUOVO
€ 1.200/mese,40m²,Via dei Gozzadini,AURELIO
€ 800/mese,67m²,Via Selvaforte,CASETTA MATTEI
€ 750/mese,65m²,Via del Campo,ALESSANDRINO
€ 1.100/mese,130m²,Via Capo Passero,OSTIA LEVANTE
€ 750/mese,60m²,Via Baiano,SCHIZZANELLO
€ 1.100/mese,122m²,Via Padre Massaruti,MADONNETTA
€ 1.250/mese,95m²,Viale della Grande Muraglia,CASTELLACCIO
€ 1.300/mese,85m²,VIALE DELL' OCEANO ATLANTICO,EUR
€ 400/mese,25m²,Via Cassia,TOMBA DI NERONE
€ 900/mese,16m²,Via Paolo Zacchia,LA SAPIENZA UNIVERSITA'
€ 750/mese,78m²,Via Giulio Galli,GIUSTINIANA
€ 1.100/mese,112m²,Via delle Albizzie,CENTOCELLE
€ 1.100/mese,65m²,Via Costantino Beltrami,MIANI
€ 900/mese,30m²,Via Rovigo,ITALIA
€ 570/mese,45m²,Via Lisippo,AXA
€ 800/mese,120m²,Via dei Casali delle Cornacchiole,TORRICOLA - PARCO DELL'APPIA ANTICA
€ 1.000/mese,97m²,Via Gesualdo Bufalino,BUFALOTTA
€ 5.000/mese,220m²,Piazza Stefano Jacini,VIGNA CLARA
€ 3.800/mese,124m²,Via Delle Carrozze,CAMPO MARZIO
€ 1.350/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
€ 3.500/mese,130m²,Via dei Coronari,PONTE
€ 800/mese,65m²,Via della Balduina,BALDUINA
€ 800/mese,60m²,Viale Jonio,TUFELLO
€ 1.000/mese,69m²,Via Giorgio Vigolo,ACQUA ACETOSA OSTIENSE
€ 720/mese,50m²,via brentonico 49,INFERNETTO
€ 650/mese,40m²,Via dei Ciclamini,CENTOCELLE
€ 895/mese,65m²,Viale dei Colli Portuensi,COLLI PORTUENSI
€ 1.000/mese,100m²,Via delle Benedettine,MONTE MARIO
€ 990/mese,30m²,Via Lucilio,BALDUINA
€ 800/mese,60m²,Via Francesco Secondo Beggiato,ALESSANDRINO
€ 590/mese,30m²,Via Colleverde,SETTECAMINI
€ 800/mese,70m²,Via Isidoro del Lungo,TALENTI
€ 600/mese,45m²,Largo Russell,CASAL DEI PAZZI
€ 470/mese,45m²,Via di Marco Simone,FORNO CASALE
€ 900/mese,65m²,Via La Spezia,TUSCOLANO
€ 2.700/mese,280m²,Via  FOSSO DELLA CASTELLUCCIA,CASTEL DI LEVA
€ 750/mese,28m²,Via dei Sabelli,S. LORENZO
€ 3.000/mese,180m²,Via Aurelia Antica,AURELIO
€ 700/mese,70m²,Via Giovanni Silvestri,TOR VERGATA
€ 700/mese,70m²,Via Giardinello,PRATO FIORITO
€ 600/mese,45m²,Via dell'Acquedotto Paolo,TORREVECCHIA ALTA
€ 1.400/mese,116m²,Via degli Orti della Farnesina,FARNESINA
€ 2.000/mese,124m²,"Borgo Pio,138",BORGO
€ 500/mese,40m²,Via della Storta,CERQUETTE GRANDI
€ 1.580/mese,100m²,Via Acaia,APPIO S. GIOVANNI
€ 900/mese,50m²,via Pereira Romeo Rodriguez,BALDUINA
€ 650/mese,40m²,Via Sileno,LA RUSTICA
€ 1.350/mese,110m²,Via Fauro,PARIOLI
€ 2.300/mese,100m²,Via Alessandro Farnese,PRATI
€ 800/mese,18m²,"Vicolo dei Panieri,48",TRASTEVERE
€ 1.000/mese,60m²,Via Francesco De Vico,OTTAVO COLLE
€ 1.200/mese,100m²,Via Tolosa,CASTELLACCIO
€ 1.000/mese,30m²,Via Ferdinando Liuzzi,FARNESINA
€ 1.490/mese,70m²,Via Vetulonia,APPIO S. GIOVANNI
€ 700/mese,44m²,Viale delle Accademie,TOR MARANCIA
€ 900/mese,50m²,Via Paolo Zacchia,LA SAPIENZA UNIVERSITA'
€ 1.900/mese,165m²,"Via vallombrosa  ,",CORTINA D'AMPEZZO
€ 650/mese,80m²,Vicolo Anguillarese,OSTERIA NUOVA
€ 900/mese,30m²,Via Fabio Massimo,PRATI
€ 800/mese,40m²,"Viale delle Provincie, 114",ITALIA
€ 830/mese,35m²,Via Boncompagni,LUDOVISI
€ 600/mese,30m²,Via Andrea Verga,TORREVECCHIA ALTA
€ 600/mese,40m²,Via delle Palme,CENTOCELLE
€ 650/mese,46m²,Viale Francesco Caltagirone,NUOVA PONTE DI NONA
€ 800/mese,50m²,Via dei Brusati,VILLINI
€ 800/mese,50m²,Viale Guglielmo Massaia,GARBATELLA
€ 700/mese,35m²,Via Manlio Torquato,FURIO CAMILLO
€ 650/mese,45m²,Via Gioacchino Toma,BORGHESIANA
€ 700/mese,56m²,Via Nanchino,TORRINO
€ 650/mese,50m²,Via Gradoli,TOMBA DI NERONE
€ 1.500/mese,150m²,Via dei Cantelmo,CASETTA MATTEI
€ 750/mese,30m²,Viale Antonio Ciamarra,CINECITTA' EST
€ 590/mese,30m²,Via Colleverde,SETTECAMINI
€ 1.200/mese,70m²,Via Appia Antica,PARCO DELL'APPIA ANTICA
€ 900/mese,55m²,Via Paolo Zacchia,LA SAPIENZA UNIVERSITA'
€ 700/mese,70m²,Via Donato Bartolomeo,DRAGONA
€ 1.550/mese,130m²,via Stimigliano,VESCOVIO
€ 1.050/mese,60m²,Via Francesco Mengotti,VIGNA CLARA
€ 700/mese,90m²,Via Giardinello,PRATO FIORITO
€ 780/mese,65m²,Viale Ugo Monaco,FONTE LAURENTINA
€ 750/mese,70m²,Via Calpurnio Pisone,DON BOSCO
€ 490/mese,18m²,Largo Preneste,PRENESTINO LABICANO
€ 1.050/mese,45m²,Via Taro,VERBANO
€ 1.200/mese,60m²,Via Teodorico,ITALIA
€ 650/mese,63m²,Via Giuseppe Adami,LA STORTA
€ 550/mese,35m²,Via Piansano,GROTTAROSSA
€ 550/mese,60m²,Via Giardinello,PRATO FIORITO
€ 850/mese,95m²,Via Giuseppe Rosaccio,S. BASILIO
€ 350/mese,80m²,Via roccaromana,NUOVA GORDIANI
€ 2.100/mese,185m²,Via Roncegno,TRIONFALE
€ 2.600/mese,170m²,Via Valdagno,COLLINA FLEMING
€ 1.350/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
€ 1.100/mese,75m²,Via Santamaura,EROI TRIONFALE
€ 3.700/mese,110m²,Via Costantino Morin,MAZZINI
€ 850/mese,34m²,Via di Prato Falcone,DELLA VITTORIA
€ 650/mese,44m²,Via Raffaele Calzini,CASAL BRUCIATO
€ 850/mese,70m²,Via della Sibilla Tiburtina,SETTECAMINI
