prezzo,m2,via,quartiere
 1.050/mese,85m²,Via Cosimo Giustini,MONTEVERDE NUOVO
 3.900/mese,145m²,Via della Vite,COLONNA
 850/mese,112m²,Via Melanesia,OSTIA PONENTE
 1.200/mese,112m²,Via Pietro Venturi,PORTUENSE
 1.500/mese,138m²,Via Mario Fani,TRIONFALE
 3.600/mese,250m²,Via Cassia,TOMBA DI NERONE
 1.600/mese,130m²,Via Appia Nuova,APPIO LATINO - ALBERONE
 900/mese,65m²,Via Giuseppe Taverna,MONTE MARIO
 950/mese,80m²,Via Maddaloni,PRENESTINO LABICANO
 1.100/mese,90m²,Via dei Volsci,S. LORENZO
 12.000/mese,1.050m²,Via Giuseppe Mirri,PORTONACCIO
 1.050/mese,95m²,Via Deserto di Gobi,TORRINO
 950/mese,192m²,Via Ettore Gabrici,GREGNA S. ANDREA
 1.500/mese,50m²,Via Seneca,BALDUINA
 2.000/mese,130m²,Via Sestriere,CORTINA D'AMPEZZO
 800/mese,62m²,Via Giovanni Battista Canobi,MONTEVERDE NUOVO
 1.200/mese,69m²,Via Durazzo,DELLA VITTORIA
 900/mese,108m²,Via Carlo Avolio,SPINACETO
 2.800/mese,126m²,Via Oddone di Cluny,RIPA
 1.500/mese,61m²,Via del Castello,OSTIA ANTICA
 1.550/mese,110m²,Via degli Orti della Farnesina,FARNESINA
 480/mese,55m²,Via di Colle Trugli,FINOCCHIO
 2.000/mese,120m²,via copenaghen 9,CASTELLACCIO
 3.200/mese,196m²,Via Flaminia,COLLINA FLEMING
 1.300/mese,135m²,via fabio numerio,FURIO CAMILLO
 1.000/mese,95m²,Via Statilio Ottato,DON BOSCO
 3.800/mese,180m²,Via Sicilia,LUDOVISI
 1.190/mese,83m²,Via Borgorose,DUE PONTI
 3.800/mese,133m²,Via Giulia,REGOLA
 1.200/mese,85m²,Via della Camilluccia,CAMILLUCCIA
 4.700/mese,160m²,Via Appia Pignatelli,QUARTO MIGLIO
 400/mese,150m²,Via Cartagine,QUADRARETTO
 3.500/mese,160m²,Via Bartolomeo Ammannati,PARIOLI
 750/mese,58m²,Via di Passo Lombardo,VERMICINO
 1.600/mese,154m²,Via Giuseppe Cerbara,TOR MARANCIA
 1.800/mese,160m²,Via Francesco Acri,MONTAGNOLA
 1.150/mese,136m²,Via Tazio Nuvolari,ROMA 70
 500/mese,30m²,Via degli Scolopi,TRIONFALE
 1.450/mese,81m²,Via Catanzaro,ITALIA
 3.800/mese,180m²,Via Sicilia,LUDOVISI
 750/mese,81m²,Via Pescaglia,MAGLIANA
 1.100/mese,90m²,Via Filettino,TOR DE' SCHIAVI
 2.000/mese,97m²,Via della Consulta,MONTI
 1.199/mese,99m²,Via dei Due Ponti,DUE PONTI
 3.800/mese,277m²,Via Domenico De Dominicis,CASAL BERTONE
 920/mese,63m²,Via degli Orti di Galba,MONTEVERDE VECCHIO
 850/mese,41m²,Via Nomentana Nuova,SACCO PASTORE
 1.750/mese,89m²,Via Pompeo Ugonio,LANCIANI
 1.700/mese,75m²,"Via Eschilo,120",AXA
 33.000/mese,3.977m²,Via Prenestina,PRENESTINO LABICANO
 1.500/mese,50m²,Via Seneca,BALDUINA
 1.150/mese,100m²,Via di Val Cannuta,VAL CANNUTA
 1.500/mese,136m²,Via Vasanello,GROTTAROSSA
 1.500/mese,65m²,Via Portuense,PORTUENSE
 3.600/mese,250m²,Via Cassia,TOMBA DI NERONE
 1.350/mese,85m²,Piazza dei Prati degli Strozzi,MAZZINI
 2.200/mese,140m²,"Via Cola di Rienzo, 212",PRATI
 1.300/mese,75m²,Circonvallazione Trionfale,EROI TRIONFALE
 850/mese,95m²,Via della Divisione Torino,GIULIANO DALMATA
 13.000/mese,860m²,Via Odoardo Beccari,MIANI
 25.000/mese,2.700m²,Via Assisi,MANDRIONE
 2.950/mese,228m²,Via Cassia,TOMBA DI NERONE
 830/mese,70m²,Via silvestro gherardi,MARCONI
 1.300/mese,100m²,Via Luigi Rizzo,EROI TRIONFALE
 800/mese,50m²,VIA SIDERNO,STATUARIO
 800/mese,45m²,Via Rocca di Papa,COLLI ALBANI
 1.400/mese,78m²,Via Anapo,VERBANO
 800/mese,100m²,Via Tommaso Piroli,GIARDINETTI
 700/mese,49m²,Viale Aurelio Galleppini,MEZZOCAMMINO
 850/mese,85m²,Via Luigi Volpicelli,NUOVA TOR VERGATA
 1.500/mese,102m²,Via Amsterdam,CASTELLACCIO
 3.800/mese,180m²,Via Sicilia,LUDOVISI
 1.650/mese,124m²,Via Flaminia,COLLINA FLEMING
 1.150/mese,52m²,Via di Val Cannuta,VAL CANNUTA
