id,name,price,room_type,accommodates,review_scores_rating,quartiere
891084183971845974,Simona's place! Apartment in Piazza Bologna,$191.00,Entire home/apt,4,5.0,ITALIA
887068799850474538,Esclusivo appartamento vicino Piazza di Spagna,$195.00,Entire home/apt,4,4.72,COLONNA
887092011070033839,"""Triple room private bath""",$300.00,Private room,3,4.81,ESQUILINO
887380245535080020,Saint John Cozy  Place,$148.00,Entire home/apt,4,4.99,ESQUILINO
891121596933925816,Enchanting Garden Retreat,$102.00,Entire home/apt,4,4.92,BALDO DEGLI UBALDI
891148123610744742,Cozy flat  2 bedrooms 2 bathrooms with balcony,$236.00,Entire home/apt,5,4.97,PORTA PORTESE
891148764226702850,Villino indipendente giardino Pigneto/ 3 bdr&3btr,$275.00,Entire home/apt,6,4.94,PIGNETO
891169411310337455,Vatican Triple Room Wi-Fi - A/C - Private Bathroom,$159.00,Private room,3,5.0,CAVALLEGGERI
891348735400097105,Camera e bagno privati. Guesthouse St. Termini,$150.00,Entire home/apt,2,4.9,CASTRO PRETORIO
891349279143775456,BDC - Fancy 2-Bdr Apt @Vatican,$204.00,Entire home/apt,5,4.97,EROI TRIONFALE
891394227382491692,La Dolce Vita - Testaccio Authentic District,$115.00,Entire home/apt,3,4.88,TESTACCIO
887394777670371852,Casa Vacanze ELENA,$105.00,Entire home/apt,6,4.9,GARBATELLA
887408244814956469,Trevi's Apartment,$250.00,Entire home/apt,4,4.88,TREVI
887412466512817597,Margutta Mews,$362.00,Entire home/apt,3,5.0,CAMPO MARZIO
887435005786593335,San Paolo Room in flat at 3minutes from metro stop,$42.00,Private room,1,5.0,SAN PAOLO
887543140509833888,4 stops from Colosseum! (free parking),$92.00,Entire home/apt,4,4.94,SAN PAOLO
887568250945299054,Comfort good location,$93.00,Entire home/apt,2,4.94,DON BOSCO
891401314275712033,La casa di Gaia - intera casa con giardino,$79.00,Entire home/apt,3,4.91,CASAL PALOCCO
891560605019947974,Toscanelli room Seaside for groups or families,$68.00,Entire home/apt,8,4.91,OSTIA PONENTE
891737132304153696,Casa Bouganville | St. Peter Romantic Apartment,$150.00,Entire home/apt,4,5.0,AURELIO
891804634738825580,Roma Amor,$59.00,Private room,1,4.74,S. LORENZO
891831216468294357,BMGA | Luxury Home with Patio in Trastevere,$434.00,Entire home/apt,8,4.91,TRASTEVERE
891839455208198295,Private Room with own Bathroom,$56.00,Private room,2,4.92,TRIONFALE
891842786023645716,Luminous Apartment few steps from Piazza Navona,$154.00,Entire home/apt,2,4.62,PONTE
891843184877926943,Lo’canda  Ponte Milvio,$108.00,Entire home/apt,4,4.7,FORO ITALICO
891888518846905522,Neighborhood apartment at Porta Metronia,$204.00,Entire home/apt,5,4.94,APPIO S. GIOVANNI
887574395393415256,Daplace | Arianna Apartment,$196.00,Entire home/apt,6,4.63,CAMPO MARZIO
887653378913074394,Experience Rome: a bright apartment near Vatican,$323.00,Entire home/apt,8,5.0,EROI TRIONFALE
887677051079741944,Navona Charming Balcony,$445.00,Entire home/apt,5,5.0,PARIONE
888013802184126010,Coronari Apartment with private terrace and view,$283.00,Entire home/apt,4,4.98,PONTE
888092735605945542,Smart TV-Heart of Prati-A/C-5min to Vatican city,$107.00,Entire home/apt,2,4.81,PRATI
891895020721837130,The Best Rent - Cozy apartment close to San Pietro,$850.00,Entire home/apt,6,4.63,PRATI
891931369646930167,Appia Antica 1BR Swimming Pool,$63.00,Entire home/apt,3,4.69,PARCO DELL'APPIA ANTICA
891942446892267139,Sweeties apartment san Giovanni,$82.00,Entire home/apt,4,4.95,APPIO S. GIOVANNI
891947501649001960,Appartamento di due stanze,$598.00,Entire home/apt,4,5.0,MAZZINI
891947742765629692,"Adriano Augusto, Roma alloggio  6 persone",$300.00,Entire home/apt,6,5.0,EROI TRIONFALE
891952717069439956,Termini Station cozy Apartment,$138.00,Entire home/apt,4,4.33,ESQUILINO
891961372265669379,Gateway to Rome's Treasures,$126.00,Entire home/apt,5,5.0,APPIO S. GIOVANNI
888132529881207466,Una vacanza vista Colosseo.,$200.00,Entire home/apt,2,4.86,MONTI
888136461360779139,"New! ""Orazio"" Room",$189.00,Private room,3,4.84,MONTI
888144681154414821,Rental in Rome - Dome View San Gioacchino / Prati,$342.00,Entire home/apt,5,4.85,PRATI
888168864760502798,Designer Apartment Via Nazionale,$272.00,Entire home/apt,4,4.8,CASTRO PRETORIO
888182182806077451,Large and quiet flat in Trastevere,$132.00,Entire home/apt,2,4.75,TRASTEVERE
888273851114645949,Colosseo 500 m /Quiete in città A Casa di Beatrice,$162.00,Entire home/apt,4,4.92,CELIO
888274543663976978,Rental In Rome - A welcoming and elegant home,$325.00,Entire home/apt,4,4.8,BORGO
888301776026700558,Vaticano grande appartamento elegante fronte Metro,$289.00,Entire home/apt,8,4.95,BALDO DEGLI UBALDI
891995997283458051,TAKE ME ROME | Luxury Vatican White House,$320.00,Private room,8,5.0,PRATI
892024308524327702,Appartamentino in periferia,$59.00,Entire home/apt,3,4.84,VALLE BORGHESIANA
892174832852476992,Porta Castello Charme,$262.00,Entire home/apt,6,4.71,BORGO
892391941760570102,Gianicolo Boutique Apt Villa Pamphili,$110.00,Entire home/apt,4,4.83,MONTEVERDE VECCHIO
892409733191936722,Casa Elsi,$65.00,Entire home/apt,4,4.85,OSTIA LEVANTE
892431802053505984,Gabbo - House,$167.00,Entire home/apt,5,4.96,EROI TRIONFALE
892493365172170644,Vatican dHome new apt with private garden,$180.00,Entire home/apt,4,5.0,CAVALLEGGERI
892554263499717286,Leopardo suite @Trastevere,$165.00,Entire home/apt,4,4.86,TRASTEVERE
892570889799871644,Mancini Suite Trevi,$210.00,Entire home/apt,6,4.71,TREVI
892588404662924496,DaliTourism - Vatican Apartment 9,$178.00,Entire home/apt,5,4.4,PRATI
888321157724110270,Oasi Urbana,$83.00,Entire home/apt,2,5.0,SAN PAOLO
888341678354204918,“Lovely apartment in the City Centre”,$293.00,Entire home/apt,6,4.82,ESQUILINO
888348198594630898,St. Peters Garden 3 BDR Apartment,$143.00,Entire home/apt,5,4.78,AURELIO
888358099654184380,Catone Luxury Double Room Purple,$291.00,Private room,2,5.0,PRATI
888369458187582125,Catone Luxury Double Room Green,$261.00,Private room,2,5.0,PRATI
888435344607218094,Unique Grand Trevi luxury Apartment,$391.00,Entire home/apt,9,4.83,TREVI
892588748967210495,Casa MEM,$290.00,Entire home/apt,2,4.98,PIGNA
892603828948945247,Maison Rizzo 3-bedroom apartment,"$2,101.00",Entire home/apt,7,4.81,EROI TRIONFALE
892604608276859656,BigFamilyFlats-Vatican&Aurelio - 13 ppl,$516.00,Entire home/apt,15,4.8,AURELIO
892624998957533649,Lo Zainetto - Camera Oakwood,$32.00,Private room,2,4.67,BORGHESIANA
892665707834580461,Casa Monti Colosseo,$247.00,Entire home/apt,5,4.98,ESQUILINO
892674021605987217,Alice’s Kitty House,$55.00,Private room,2,4.86,TOR TRE TESTE
892772329760218334,Camilla’s Terrace Apartment Rome_Pigneto,$105.00,Entire home/apt,5,4.7,PIGNETO
888504197379313468,Tropical home,$100.00,Entire home/apt,2,4.72,INFERNETTO
888557962610886192,Intero appartamento Roma,$80.00,Entire home/apt,4,4.95,CENTOCELLE
888829933660557293,Lungaretta Studio Flat [trastevere],$140.00,Entire home/apt,2,4.73,TRASTEVERE
888908257160809507,TrastevereLoft228 - Apt.Tiffany,$76.00,Entire home/apt,4,4.66,MONTEVERDE VECCHIO
888916144521412369,Studio Trastevere Village 2,$138.00,Entire home/apt,2,4.66,TRASTEVERE
892926632256350366,CasaMonti.club,$437.00,Entire home/apt,6,5.0,MONTI
893069786499980826,SWEET HOME - Metro B Laurentina,$112.00,Entire home/apt,4,4.93,GIULIANO DALMATA
893113960496914987,Luxury 2 beds/3 baths on Via del Corso!,$365.00,Entire home/apt,6,4.68,CAMPO MARZIO
893123734973072706,Private Luxury Suite on Via del Corso,$227.00,Private room,4,4.68,CAMPO MARZIO
893134629854100795,Appartement suite Ripa Trastevere,$300.00,Entire home/apt,2,4.98,TRASTEVERE
893203595294322997,Apartment Casa Iole,$73.00,Entire home/apt,2,4.84,OSTIA PONENTE
893205248255123891,"Triple room, private bathroom",$500.00,Private room,3,4.77,ESQUILINO
893238724737767606,Singola Bagno Privato [5' Colosseo] Metro - Treno,$64.00,Private room,1,4.85,OSTIENSE
888962855197190139,Domus Mercurio,$140.00,Entire home/apt,3,4.77,ESQUILINO
888964482628574783,Roma e Palazzo Pontificio Vaticano Castel Gandolfo,$73.00,Entire home/apt,4,4.94,MORENA
888976645730659829,Domus Venere,$184.00,Entire home/apt,5,4.81,ESQUILINO
889242358216340379,casa Lara garden,$103.00,Entire home/apt,3,4.98,PRENESTINO LABICANO
889474643323494823,Monti Parioli House,$128.00,Entire home/apt,4,4.67,PARIOLI
889488494587478768,Apartment in strategic location,$111.00,Entire home/apt,4,4.96,ITALIA
893240048338434058,The Best Rent - Wide apartment near Villa Borghese,$425.00,Entire home/apt,7,4.5,LUDOVISI
893242546110639147,Beach & City Casa Vacanza Ostia,$70.00,Entire home/apt,2,4.98,OSTIA LEVANTE
893250265802326515,Appart.nel verde a 8 km dall'Ospedale Bambino Gesù,$103.00,Entire home/apt,4,4.95,BOCCEA
893251869596695372,La casa dell'Avocado,$74.00,Entire home/apt,2,4.96,APPIO LATINO - ALBERONE
893300292597914814,Quarto Piano - intero alloggio a Roma,$158.00,Entire home/apt,4,5.0,GARBATELLA
893306180313868686,Re di Roma Charme Apartment - Apt for 2,$148.00,Entire home/apt,2,4.5,TUSCOLANO
893309962859484332,Roman times experience in Monti area,$211.00,Entire home/apt,4,4.52,MONTI
893364597764418535,Penthouse with terrace in the centre,$77.00,Entire home/apt,4,5.0,OSTIA PONENTE
889547192903148550,iFlat | Golden Gem in Trevi,$176.00,Entire home/apt,5,4.59,TREVI
889610896981948735,Casa Elisa al Pigneto,$121.00,Entire home/apt,4,5.0,PRENESTINO LABICANO
893526989292282451,"La casa di Gioia, Ostia Antica",$91.00,Entire home/apt,5,4.87,OSTIA ANTICA
893864464156539125,Zattere  Sunny Flat WiFi A/C 200 mt Seafront,$55.00,Entire home/apt,4,5.0,OSTIA PONENTE
893931447402566830,The Savoy Suite: 3 Bedroom/2 Bathroom with AC,$200.00,Entire home/apt,7,4.91,ESQUILINO
893958748000093548,*Stanza Matrimoniale - Metro B*,$62.00,Private room,2,4.63,LAURENTINO FONTE OSTIENSE
893967844646247327,Appartamento Giardino Pigneto,$72.00,Entire home/apt,3,4.88,LA MARRANELLA
893986830272481806,Luxury Home in the Heart of Rome,$405.00,Entire home/apt,6,5.0,TREVI
893393139598347184,A casa di Marisa,$198.00,Entire home/apt,5,5.0,MAZZINI
893406925161181550,Librari Penthouse with Terrace - 2PAX,$259.00,Entire home/apt,2,4.8,PARIONE
893424348884871176,New and beautiful house in the heart of Rome,$112.00,Entire home/apt,4,4.96,MANDRIONE
893470707279735055,Relax a Trastevere,$189.00,Entire home/apt,6,4.4,MONTEVERDE VECCHIO
893522792384418852,Trevi House Panetteria,$136.00,Entire home/apt,2,4.84,TREVI
898514579339622276,Casa Lido Mare,$90.00,Entire home/apt,5,4.86,OSTIA PONENTE
898588235132115253,Live Roma | Casa Nanna Chic in Vatican,$196.00,Entire home/apt,4,4.84,EROI TRIONFALE
898589056398491300,Appartamento Roma Eur - Casa di Vincenzo,$107.00,Entire home/apt,4,4.75,DECIMA
894169246671360779,[Maison Archimede]Luxury flat Parioli,$125.00,Entire home/apt,4,5.0,PARIOLI
894252213665002461,Splendid cozy big room near the subway ! #15,$39.00,Private room,3,4.57,ESQUILINO
