quartiere,municipio,num_residenti
BOCCEA,13,11070
CASAL SELCE,13,966
CASALOTTI,13,12885
CASTEL DI GUIDO NORD,13,1370
CAVALLEGGERI,13,5151
COLLINA DELLE MUSE,13,1709
FORNO SARACENO,13,4591
GREGORIO XI,13,6759
MAGLIANELLA,13,731
MAGLIANELLA DI SOPRA,13,523
MONACHINA,13,182
MONTE DEL MARMO,13,4585
MONTESPACCATO,13,16103
PANTAN MONASTERO,13,3133
PINETA SACCHETTI,13,12992
S. RUFINA,13,894
TORREVECCHIA BASSA,13,5984
VAL CANNUTA,13,6938
VALLE AURELIA,13,2625
APPIANO,14,5888
BALDUINA,14,22610
BATTISTINI,14,10081
CASAL DEL MARMO,14,193
CASTELLUCCIA,14,1887
CERQUETTE GRANDI,14,3099
FOSSO PIETROSO,14,404
MEDAGLIE D'ORO,14,4655
MONTE MARIO,14,16969
OTTAVIA,14,12097
PALMAROLA,14,15473
PARCO DELL'INSUGHERATA,14,129
PARCO MONTE CIOCCI,14,40
PIAN SACCOCCIA,14,1640
PINETO,14,216
PODERE S. GIUSTO-PODERE ZARA,14,3446
PRIMAVALLE,14,16332
QUARTACCIO,14,2428
S. ANDREA,14,1914
S. MARIA DI GALERIA,14,1215
S. NICOLA,14,953
SANTA ROSA MARINA MILITARE,14,350
SELVA CANDIDA,14,13399
SELVA NERA,14,6179
TORRESINA,14,4185
TORREVECCHIA ALTA,14,28586
TRAGLIATELLA,14,1922
TRIONFALE,14,7403
VALLE SANTA,14,3449
ANGUILLARESE - COLLE DUE PINI,15,534
BORGO DI CESANO,15,877
BOSCO BACCANO-LA MELAZZA,15,189
CAMILLUCCIA,15,1592
CASACCIA,15,243
CESANO,15,7812
CIMITERO FLAMINIO,15,0
COLLINA FLEMING,15,12010
CORTINA D'AMPEZZO,15,9667
DUE PONTI,15,5613
FARNESINA,15,8404
FARNETO,15,266
FORO ITALICO,15,294
GIUSTINIANA,15,11197
GROTTAROSSA,15,13692
INVIOLATELLA BORGHESE,15,125
ISOLA FARNESE,15,2965
LA STORTA,15,11211
LABARO,15,14168
MALBORGHETTO,15,173
MONTE CAMINETTO,15,167
MONTE OLIVIERO,15,230
OLGIATA,15,5900
OSTERIA NUOVA,15,1466
PARCHI VOLUSIA E PAPACCI,15,19
PIANA DEL TEVERE,15,85
PIETRA PERTUSA,15,4856
POLLINE MARTIGNANO,15,45
PONTE MILVIO,15,2054
PRATO CORAZZA,15,66
PRIMA PORTA,15,7081
PROCOIO,15,257
QUARTO PEPERINO,15,1714
RADIO VATICANA,15,85
RISERVA DI LIVIA,15,237
S. CORNELIA,15,2053
SAN GODENZO,15,3425
SAXA RUBRA,15,639
SCUOLA DI FANTERIA CESANO,15,160
TIBERINA - S. ISIDORO,15,709
TOMBA DI NERONE,15,10871
TOR DI QUINTO,15,315
TORRE DEI VENTI,15,18
VACCARECCIA,15,386
VALLE MURICANA,15,3410
VALLE VESCOVO,15,232
VEIENTANA,15,980
VEIO,15,160
VIGNA CLARA,15,8272
